,GTITL30YR,GTITL10YR,GTITL2YR,yield_dispersion_26w,yield_dispersion_12w,VIX,MXUS_vol_12w,MXUS_vol_26w,MXEU_vol_12w,MXEU_vol_26w,VIX_logret_104w,VIX_logret_26w,VIX_logret_52w,MXUS_logret_4w,MXUS_roc_4w,bond_equity_ratio_zscore,gold_equity_ratio_zscore,bond_equity_ratio,MXUS_st_lt_divergence,gold_equity_ratio,neg_thresh_1.5sd_26w_pct,neg_thresh_1.5sd_26w_count,neg_thresh_2.0sd_26w_pct,neg_thresh_2.0sd_26w_count,neg_thresh_1.5sd_12w_pct,vix_zscore_52w,vix_percentile_52w,negative_weeks_count_12w,commcurr_avg_change_26w,negative_weeks_pct_12w,Y,pre_crisis
2005-04-18,4.277714285714286,3.615857142857143,2.3442857142857143,0.2547863127429973,0.0667279095777416,14.437142857142858,0.1236424071847966,0.1126832726407887,0.0884507204326704,0.0837714150590022,-0.3771282953230737,-0.0506246567143128,-0.1532819007478879,-0.01422713307441,-1.4123120099237885,0.1759287055494575,0.9428182624846584,0.0002171007325103,-0.0172605795603335,0.3972774186464354,0.0,0.0,0.0,0.0,4.081632653061225,0.0432760601445476,0.5329670329670331,5.0,0.0045291663080274,41.66666666666667,0,0
2005-04-19,4.269,3.604,2.331,0.2573623573693531,0.0696644732110966,14.96,0.1244235885603743,0.1135014868480684,0.0913999902428387,0.0851473289120995,-0.3247537277249921,-0.0112995552539333,-0.1082307242163715,-0.0152801921993316,-1.5164042412073142,0.3250104815402295,1.1337328312562325,0.000218979418304,-0.0180853350963009,0.3996346661254313,0.0,0.0,0.0,0.0,4.761904761904762,0.3297450972648628,0.6153846153846154,5.0,0.0046994175425922,41.66666666666667,0,0
2005-04-20,4.267571428571428,3.604714285714286,2.3312857142857144,0.2553729053973109,0.0701448560324334,14.952857142857145,0.1234096766843063,0.1134829531423191,0.0905662434413958,0.0842846331255761,-0.3256454708387134,-0.0232052279289559,-0.0942940327371408,-0.0146437093813459,-1.4535812784979634,0.2942947213753421,1.168912516889261,0.0002186023447896,-0.0172230312110136,0.4001626603229007,0.0,0.0,0.0,0.0,4.761904761904762,0.3260871399817603,0.6153846153846154,5.142857142857143,0.0047312814348127,42.85714285714286,0,0
2005-04-21,4.2661428571428575,3.605428571428571,2.3315714285714284,0.2533834534252687,0.0706252388537701,14.945714285714288,0.1223957648082382,0.1134644194365698,0.0897324966399529,0.0834219373390527,-0.3265372139524347,-0.0351109006039785,-0.0803573412579102,-0.0140072265633603,-1.3907583157886123,0.2635789612104547,1.2040922025222889,0.0002182252712752,-0.0163607273257263,0.4006906545203701,0.0,0.0,0.0,0.0,4.761904761904762,0.322429182698658,0.6153846153846154,5.285714285714286,0.0047631453270333,44.04761904761905,0,0
2005-04-22,4.264714285714286,3.6061428571428578,2.331857142857143,0.2513940014532265,0.0711056216751069,14.938571428571429,0.1213818529321702,0.1134458857308204,0.08889874983851,0.0825592415525294,-0.3274289570661559,-0.047016573279001,-0.0664206497786796,-0.0133707437453746,-1.3279353530792617,0.2328632010455673,1.2392718881553173,0.0002178481977607,-0.015498423440439,0.4012186487178396,0.0,0.0,0.0,0.0,4.761904761904762,0.3187712254155556,0.6153846153846154,5.428571428571429,0.0047950092192539,45.23809523809524,0,0
2005-04-23,4.263285714285715,3.6068571428571423,2.3321428571428573,0.2494045494811842,0.0715860044964436,14.931428571428572,0.1203679410561021,0.1134273520250711,0.0880650030370671,0.081696545766006,-0.3283207001798772,-0.0589222459540236,-0.0524839582994489,-0.0127342609273889,-1.2651123903699109,0.2021474408806799,1.2744515737883455,0.0002174711242463,-0.0146361195551518,0.401746642915309,0.0,0.0,0.0,0.0,4.761904761904762,0.3151132681324531,0.6153846153846154,5.571428571428571,0.0048268731114745,46.42857142857143,0,0
2005-04-24,4.261857142857143,3.6075714285714287,2.3324285714285717,0.247415097509142,0.0720663873177804,14.924285714285714,0.1193540291800341,0.1134088183193218,0.0872312562356242,0.0808338499794826,-0.3292124432935984,-0.0708279186290462,-0.0385472668202183,-0.0120977781094033,-1.2022894276605602,0.1714316807157924,1.309631259421374,0.0002170940507319,-0.0137738156698645,0.4022746371127784,0.0,0.0,0.0,0.0,4.761904761904762,0.3114553108493507,0.6153846153846154,5.714285714285714,0.0048587370036951,47.61904761904762,0,0
2005-04-25,4.260428571428572,3.608285714285714,2.3327142857142857,0.2454256455370998,0.0725467701391172,14.917142857142858,0.1183401173039661,0.1133902846135724,0.0863975094341813,0.0799711541929593,-0.3301041864073197,-0.0827335913040687,-0.0246105753409877,-0.0114612952914176,-1.1394664649512094,0.1407159205509051,1.3448109450544024,0.0002167169772175,-0.0129115117845772,0.4028026313102479,0.0,0.0,0.0,0.0,4.761904761904762,0.3077973535662484,0.6153846153846154,5.857142857142857,0.0048906008959157,48.80952380952381,0,0
2005-04-26,4.259,3.609,2.333,0.2434361935650576,0.0730271529604539,14.91,0.117326205427898,0.1133717509078231,0.0855637626327385,0.0791084584064359,-0.3309959295210409,-0.0946392639790913,-0.010673883861757,-0.0108248124734319,-1.0766435022418586,0.1100001603860176,1.3799906306874308,0.0002163399037031,-0.0120492078992899,0.4033306255077173,0.0,0.0,0.0,0.0,4.761904761904762,0.3041393962831459,0.6153846153846154,6.0,0.0049224647881363,50.0,0,0
2005-04-27,4.250285714285715,3.600285714285714,2.3204285714285717,0.2500934858045659,0.0775215846833476,14.855714285714283,0.1171318228397562,0.1130883877903932,0.0840361600390719,0.0773233885828462,-0.334959012321618,-0.0964851454175288,-0.0277448467730604,-0.0115427877701823,-1.147489848610704,0.1468000622652956,1.2347822687437815,0.0002168306515149,-0.0130604559803539,0.4016017808194696,0.3401360544217687,0.1428571428571428,0.0,0.0,5.442176870748299,0.2775841985957157,0.6153846153846154,6.0,0.0048899376116253,50.0,0,0
